Date,Province,temperature_2m_mean (°C),rain_sum (mm),Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Kejadian Banjir
August 2020,Kalimantan Utara,24.338978677419355,8.306451706451615,0,0,0,0,0,0,0
August 2020,Kepulauan Bangka Belitung,26.83373635483871,2.774193557419355,0,0,0,0,5,0,1
August 2020,Kepulauan Riau,27.57580587096774,4.270967688387096,0,0,0,0,0,0,0
August 2020,Lampung,26.29569987096774,1.8967741367741933,0,0,0,12,470,0,4
August 2020,Maluku,22.132527,5.600000019354839,0,0,0,0,173,0,2
August 2020,Maluku Utara,24.453225967741936,14.070968248387096,0,0,0,50,397,0,1
August 2020,Nusa Tenggara Barat,24.488306741935485,0.5645161251612903,0,0,0,0,106,1,2
August 2020,Nusa Tenggara Timur,25.783468032258064,0.1967742032258064,0,0,0,0,0,0,0
August 2020,Papua,19.30120977419355,29.26451548387097,0,0,0,0,0,0,0
August 2020,Papua Barat,21.14086035483871,16.154838822580647,0,0,0,0,0,0,0
August 2020,Riau,26.724462193548387,3.46129034516129,0,0,0,0,0,0,0
August 2020,Sulawesi Barat,16.55053793548387,5.08709705483871,0,0,0,0,0,1,1
August 2020,Sulawesi Selatan,23.78172012903226,4.2290321483870965,0,0,0,0,0,0,0
August 2020,Sulawesi Tengah,18.469220096774198,10.767742251612905,0,0,1,23,383,3,3
August 2020,Sulawesi Tenggara,24.78104777419355,2.948386994516129,0,0,0,0,0,0,0
August 2020,Sulawesi Utara,24.616666548387094,6.083870698387097,0,0,0,0,0,0,0
August 2020,Sumatera Barat,24.704166387096773,2.509677464516129,0,0,0,6,296,1,5
August 2020,Sumatera Selatan,27.129167096774196,1.7580645496774194,0,0,0,7,3474,8,6
August 2020,Sumatera Utara,20.495161161290323,7.690322699999999,0,0,0,0,2121,0,3
August 2020,Yogyakarta,25.28803806451613,0.1225806464516129,0,0,0,0,0,0,0
August 2021,Aceh,21.078897838709675,12.05483896451613,0,0,0,0,635,2,10
August 2021,Bali,23.85120909677419,1.2806451835483872,0,0,0,0,0,0,0
August 2021,Banten,26.0888440967742,2.803225772580645,0,0,0,0,359,0,2
August 2021,Bengkulu,25.431989096774192,14.816128482258064,0,0,0,0,16,3,3
August 2021,Gorontalo,22.63037635483871,20.696774987096774,0,0,0,0,60,1,1
August 2021,Jakarta Raya,26.538574870967743,5.609677635483871,0,0,0,0,218,0,3
August 2021,Jambi,26.030107935483876,7.203225770967742,0,0,0,0,12,2,1
August 2021,Jawa Barat,19.78938190322581,2.6322581806451613,1,0,0,213,2684,1,18
August 2021,Jawa Tengah,26.14314570967742,0.5483871032258064,0,0,0,0,1724,0,3
August 2021,Jawa Timur,26.8317210967742,0.4903225887096774,0,0,0,6,3176,0,6
August 2021,Kalimantan Barat,25.620699096774192,10.180645007741935,0,0,0,5,262,1,3
August 2021,Kalimantan Selatan,24.68387096774193,7.851612903225806,0,0,0,0,6227,5,6
August 2021,Kalimantan Tengah,25.861020870967742,6.919354770967741,0,0,0,0,26519,0,8
August 2021,Kalimantan Timur,25.645833322580646,8.425806267741937,0,0,0,1,655,0,4
August 2021,Kalimantan Utara,23.945429516129032,12.435483667741936,0,0,0,0,54,0,1
August 2021,Kepulauan Bangka Belitung,26.19395251612903,8.100000017741936,0,0,0,0,769,0,1
August 2021,Kepulauan Riau,27.06827941935484,8.99677426451613,0,0,0,0,15,0,1
August 2021,Lampung,26.00604796774193,4.341935439999999,0,0,0,1,685,0,3
August 2021,Maluku,22.169623612903223,8.461290319032257,0,0,0,0,20,0,1
August 2021,Maluku Utara,24.284140290322583,16.30000023870968,0,0,0,0,11,0,1
August 2021,Nusa Tenggara Barat,24.975940935483877,0.7516128993548388,0,0,0,44,1257,8,3
August 2021,Nusa Tenggara Timur,26.74220564516129,0.0096774193548387,0,0,0,0,0,0,0
August 2021,Papua,19.535215032258066,53.3064525483871,0,0,0,0,0,0,0
August 2021,Papua Barat,21.29180064516129,13.722580409677418,0,0,0,0,6,0,1
August 2021,Riau,26.09556406451613,6.403225653225807,0,0,0,21,946,3,2
August 2021,Sulawesi Barat,16.279166741935484,14.180645229032258,0,0,0,10,0,0,4
August 2021,Sulawesi Selatan,23.740725387096774,11.764516087096773,0,0,0,738,16139,28,14
August 2021,Sulawesi Tengah,18.301075032258066,20.209677748387097,0,0,0,11,399,6,17
August 2021,Sulawesi Tenggara,24.43561777419355,13.135484087096774,0,0,0,29,394,10,10
August 2021,Sulawesi Utara,24.55268790322581,8.945161141935484,0,0,0,0,0,0,0
August 2021,Sumatera Barat,23.474865,7.454838641935484,0,0,0,0,318,2,3
August 2021,Sumatera Selatan,26.416801193548388,5.935484058064516,0,0,0,0,27,0,3
August 2021,Sumatera Utara,19.92889780645161,9.790322394838707,5,0,0,11,18051,36,11
August 2021,Yogyakarta,25.205376548387097,0.3000000064516129,0,0,0,0,0,0,0
August 2022,Aceh,21.427419548387096,9.241935203225806,2,2,0,0,2476,2,7
August 2022,Bali,23.579300870967742,1.7838710335483872,0,0,0,0,72,0,1
August 2022,Banten,25.76384390322581,3.667742058064517,0,0,0,0,0,0,0
August 2022,Bengkulu,25.398924225806454,12.341935367741936,0,0,0,6,8982,11,8
